ï»¿RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
000282-19CP,Complaint,Request,"Construction , LandLord/Tenant",CONSTRUCTION & POTA--per phone call--complainant says their unit (#101) is under construction w/o proper permits.  The landlord has not relocated them to another unit while construction is taking place,2019 Jan 08 12:00:00 AM,2019 Jan 15 12:00:00 AM,No Access/Unable to Observe,Completed,1416 E MARION ST,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000282-19CP,47.6105414,-122.31341093,"(47.6105414, -122.31341093)",1,2019,1,1,2019,1,False,False,7,3,True,False,False,False,False,True,False
000785-19CP,Complaint,Request,"Construction , LandLord/Tenant","CONSTRUCTION & POTA--per walk in--Given repeated 10 day notices after notifying landlord that my wife, then girlfriend, was pregnant.  Landlord was fine w/subletting the unit prior to knowing a baby was coming.  Has been extending construction on adjoining unit for more than 1/2 year",2019 Jan 28 12:00:00 AM,2019 Feb 15 12:00:00 AM,Completed,Completed,2310 YALE AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000785-19CP,47.6400923,-122.32685419,"(47.6400923, -122.32685419)",1,2019,1,2,2019,1,False,False,18,3,True,False,False,False,False,True,True
006129-21CP,Complaint,Request,"Construction , LandLord/Tenant","The property owner does not have a permit for the accessory dwelling unit and the detached accessory dwelling unit on the premises and is leasing them out to tenants. The property owner is also refusing to provide copies utility bills to both tenants on the premises but demands a $300 flat fee from each tenant. The property owner also fails to provide receipts for rental, deposit, and utility payments.",2021 Jul 30 12:00:00 AM,,,Under Investigation,420 25TH AVE E,98112,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006129-21CP,47.6233236,-122.29960679,"(47.6233236, -122.29960679)",7,2021,3,,,,True,True,,3,True,False,False,False,False,False,False
001133-03CP,Complaint,Request,Emergency,"WATER WAS SHUT OFF TODAY.  Owner has not returned any of her calls.  Has attempted sending letter to PO Box 303, Gold Bar, WA  98251 and all mail has been returned.  Certified mail sent to business address has been received.",2003 Nov 19 12:00:00 AM,2003 Nov 20 12:00:00 AM,Completed,Completed,110 12TH AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001133-03CP,47.61929928,-122.31671553,"(47.61929928, -122.31671553)",11,2003,4,11,2003,4,False,False,1,3,True,False,False,False,False,False,False
001153-03CP,Complaint,Request,Emergency,Plumbing repairs started 6 months ago. Not completed. Door kicked in on 11/18/03 still not fixed. No security.,2003 Nov 21 12:00:00 AM,2003 Nov 24 12:00:00 AM,Completed,Completed,421 SUMMIT AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001153-03CP,47.62269749,-122.32589416,"(47.62269749, -122.32589416)",11,2003,4,11,2003,4,False,False,3,3,True,False,False,False,False,False,False
001176-03CP,Complaint,Request,Emergency,HAS HAD NO HEAT FOR A WEEK. (GAS),2003 Nov 25 12:00:00 AM,,,Completed,1323 E PINE ST,98122,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001176-03CP,47.61510873,-122.31462787,"(47.61510873, -122.31462787)",11,2003,4,,,,True,True,,3,True,False,False,False,True,False,False
1001049-VI,Notice of Violation,Case,Emergency,"WATER WAS SHUT OFF TODAY.  Owner has not returned any of her calls.  Has attempted sending letter to PO Box 303, Gold Bar, WA  98251 and all mail has been returned.  Certified mail sent to business address has been received.",2003 Nov 21 12:00:00 AM,,,Completed,110 12TH AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001049-VI,47.61929928,-122.31671553,"(47.61929928, -122.31671553)",11,2003,4,,,,True,True,,3,False,True,False,False,False,False,False
1001054-VI,Notice of Violation,Case,Emergency,Plumbing repairs started 6 months ago. Not completed. Door kicked in on 11/18/03 still not fixed. No security.,2003 Nov 24 12:00:00 AM,,,Completed,421 SUMMIT AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001054-VI,47.62269749,-122.32589416,"(47.62269749, -122.32589416)",11,2003,4,,,,True,True,,3,False,True,False,False,False,False,False
1001059-CT,Citation,Case,Emergency,Exit/security and fire safety violations.,2003 Nov 25 12:00:00 AM,,,Completed,421 SUMMIT AVE E,98102,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001059-CT,47.62269749,-122.32589416,"(47.62269749, -122.32589416)",11,2003,4,,,,True,True,,3,False,False,True,False,False,False,False
001160-04CP,Complaint,Request,Emergency,Apartment has no heat.  Four electrical outlets do not work.  Kitchen sink does not drain properly. Best days to call and set up inspection are Monday and Tuesday.,2004 Jan 20 12:00:00 AM,,,Completed,165 17TH AVE,98122,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001160-04CP,47.60322254,-122.31047365,"(47.60322254, -122.31047365)",1,2004,1,,,,True,True,,3,True,False,False,False,True,False,False
