ï»¿RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
001106-21CP,Complaint,Request,"Construction , LandLord/Tenant","DISPLACED SINCE1/31/21 PER CHEMICALTREATMENT OF WOOD ROTDURING WINDOW/SIDINGREPLACEMENT.CHEMICAL IS CALLEDCOPPER GREEN BROWN.POISON CONTROL AND DEPTOF AGRICULTURE INVOLVED.ALL THIS ON TOP OF EXISTING HEALTH ISSUES AND SMALL CHILD IN APT.LANDLORD IS OFFERINGSOME FINANCIAL COMPENSATIONBUT HAS NDA STRINGS ATTACHED.RIGHTS GUIDANCE NEEDED.SUBSTANTIAL CONSTRUCTION WORK WITHOUT A PERMIT: INSULATION, SIDING AND WINDOW REPLACEMENT",2021 Feb 09 12:00:00 AM,2021 Mar 03 12:00:00 AM,Completed,Closed,8100 DELRIDGE WAY SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001106-21CP,47.52992931,-122.35997796,"(47.52992931, -122.35997796)",2,2021,1,3,2021,1,False,False,22,1,True,False,False,False,False,False,False
010083-22CP,Complaint,Request,"Construction , LandLord/Tenant","Landlords trying to demolish the unit I am currently residing in, he has not submitted any relocation information or permit to continue with construction.   He has already began demolishing two other units attached to the building and the shared laundry room is in non working order.",2022 Sep 15 12:00:00 AM,2022 Sep 21 12:00:00 AM,Completed,Under Investigation,1023 S ROSE ST,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010083-22CP,47.52883618,-122.31941541,"(47.52883618, -122.31941541)",9,2022,3,9,2022,3,False,False,6,1,True,False,False,False,False,False,False
006169-24CP,Complaint,Request,"Construction , LandLord/Tenant","We have not had hot water since Oct. 2023.The landlord saysnow that they arerenovating, theywon't address thehot water issue until my lease endsOct. 2024, they willnot be offering arenewal.  There arebroken window vents and no railingfor the stairs.  Whatare my rights?6/13/2024 - complainant calledto report he waselectrocuted byan open junctionbox that the landlord will not address.Building of new decks being done, new dividing walls on decks with",2024 Jun 11 12:00:00 AM,2024 Jul 10 12:00:00 AM,Completed,Completed,4219 SW SEATTLE ST,98116,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006169-24CP,47.58913082,-122.38585689,"(47.58913082, -122.38585689)",6,2024,2,7,2024,3,False,False,29,1,True,False,False,False,True,False,False
001353-03CP,Complaint,Request,Emergency,Nothing is being done to correct the electrical problems in the building. The roof needs to be repaired to start electrical work.,2003 Dec 19 12:00:00 AM,2003 Dec 18 12:00:00 AM,Completed,Completed,5909 AIRPORT WAY S,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001353-03CP,47.54977635,-122.31772456,"(47.54977635, -122.31772456)",12,2003,4,12,2003,4,False,False,-1,1,True,False,False,False,False,False,False
1001150-VI,Notice of Violation,Case,Emergency,Nothing is being done to correct the electrical problems in the building. The roof needs to be repaired to start electrical work.,2003 Dec 19 12:00:00 AM,2003 Dec 29 12:00:00 AM,Compliance Achieved,Completed,5909 AIRPORT WAY S,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001150-VI,47.54977635,-122.31772456,"(47.54977635, -122.31772456)",12,2003,4,12,2003,4,False,False,10,1,False,True,False,False,False,False,False
001069-04CP,Complaint,Request,Emergency,Water shut off today at 10:25 a.m.  Complainant thinks it is the landlord's responsibility to pay water bill.,2004 Jan 12 12:00:00 AM,2004 Jan 12 12:00:00 AM,Completed,Completed,701 S CLOVERDALE ST,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001069-04CP,47.52631305,-122.32543114,"(47.52631305, -122.32543114)",1,2004,1,1,2004,1,False,False,0,1,True,False,False,False,False,False,False
001461-04CP,Complaint,Request,Emergency,Complaintant says that she has been without water for week. there is a padolock on the meter. Owner responsible for water and sewer. Complaintant behind in rent. It was explained to complaintant that since it is so late in the day that there is not much we can do before closing at 5PM.,2004 Feb 13 12:00:00 AM,2004 Feb 17 12:00:00 AM,Completed,Completed,3868 16TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001461-04CP,47.56852698,-122.35513615,"(47.56852698, -122.35513615)",2,2004,1,2,2004,1,False,False,4,1,True,False,False,False,False,False,False
001490-04CP,Complaint,Request,Emergency,Big hole in the plastic piping under the kitchen sink. Black and dingy water leaks out of the hole and unto the floor. Forced to wash the dishes in the bath tub. The oven does not work and only one burner works. Plaster is falling from the walls in the entry way and one of the bedrooms. Owner does not bother to return their calls.2/23/04 KITCHEN CEILING NOW HAS A LEAK. THEY ARE USING POTS TO CATCH THE WATER. TENANT THINKS THAT A PIPE FROM THE APT. UP ABOVE HAS BURST.  AND HOT WATER HAS BEEN POU,2004 Feb 19 12:00:00 AM,2004 Feb 23 12:00:00 AM,Completed,Completed,9036 17TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001490-04CP,47.5217268,-122.35622295,"(47.5217268, -122.35622295)",2,2004,1,2,2004,1,False,False,4,1,True,False,False,False,True,False,False
001504-04CP,Complaint,Request,Emergency,NO WATER FOR (2) MONTHS.,2004 Feb 19 12:00:00 AM,,,Completed,5443 23RD AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001504-04CP,47.55248594,-122.36199369,"(47.55248594, -122.36199369)",2,2004,1,,,,True,True,,1,True,False,False,False,True,False,False
001535-04CP,Complaint,Request,Emergency,KITCHEN CEILING IS LEAKING THEY HAVE TO PUT POTS UNDER IT.,2004 Feb 23 12:00:00 AM,,,Completed,9036 17TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001535-04CP,47.5217268,-122.35622295,"(47.5217268, -122.35622295)",2,2004,1,,,,True,True,,1,True,False,False,False,True,False,False
001990-04CP,Complaint,Request,Emergency,,2004 Mar 29 12:00:00 AM,2004 Mar 29 12:00:00 AM,Completed,Completed,5214 DELRIDGE WAY SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001990-04CP,47.55449534,-122.36272716,"(47.55449534, -122.36272716)",3,2004,1,3,2004,1,False,False,0,1,True,False,False,False,False,False,False
1001248-VI,Notice of Violation,Case,Emergency,Water shut off today at 10:25 a.m.  Complainant thinks it is the landlord's responsibility to pay water bill.,2004 Jan 12 12:00:00 AM,2004 Feb 04 12:00:00 AM,Compliance Achieved,Completed,701 S CLOVERDALE ST,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001248-VI,47.52631305,-122.32543114,"(47.52631305, -122.32543114)",1,2004,1,2,2004,1,False,False,23,1,False,True,False,False,False,False,False
1001318-VI,Notice of Violation,Case,Emergency,Water shut off today at 10:25 a.m.  Complainant thinks it is the landlord's responsibility to pay water bill.,2004 Jan 26 12:00:00 AM,2004 Feb 04 12:00:00 AM,Compliance Achieved,Completed,701 S CLOVERDALE ST,98108,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001318-VI,47.52631305,-122.32543114,"(47.52631305, -122.32543114)",1,2004,1,2,2004,1,False,False,9,1,False,True,False,False,False,False,False
1001527-VI,Notice of Violation,Case,Emergency,Complaintant says that she has been without water for week. there is a padolock on the meter. Owner responsible for water and sewer. Complaintant behind in rent. It was explained to complaintant that since it is so late in the day that there is not much we can do before closing at 5PM.,2004 Feb 19 12:00:00 AM,2004 Feb 17 12:00:00 AM,Compliance Achieved,Completed,3868 16TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001527-VI,47.56852698,-122.35513615,"(47.56852698, -122.35513615)",2,2004,1,2,2004,1,False,False,-2,1,False,True,False,False,False,False,False
1001595-VI,Notice of Violation,Case,Emergency,Big hole in the plastic piping under the kitchen sink. Black and dingy water leaks out of the hole and unto the floor. Forced to wash the dishes in the bath tub. The oven does not work and only one burner works. Plaster is falling from the walls in the entry way and one of the bedrooms. Owner does not bother to return their calls.2/23/04 KITCHEN CEILING NOW HAS A LEAK. THEY ARE USING POTS TO CATCH THE WATER. TENANT THINKS THAT A PIPE FROM THE APT. UP ABOVE HAS BURST.  AND HOT WATER HAS BEEN POU,2004 Feb 25 12:00:00 AM,2004 Feb 26 12:00:00 AM,Compliance Achieved,Completed,9036 17TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001595-VI,47.5217268,-122.35622295,"(47.5217268, -122.35622295)",2,2004,1,2,2004,1,False,False,1,1,False,True,False,False,True,False,False
1001880-VI,Notice of Violation,Case,Emergency,,2004 Mar 29 12:00:00 AM,,,Completed,5214 DELRIDGE WAY SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001880-VI,47.55449534,-122.36272716,"(47.55449534, -122.36272716)",3,2004,1,,,,True,True,,1,False,True,False,False,False,False,False
002337-06CP,Complaint,Request,Emergency,"Water was shut off this morning.  The property owner is responsible for paying the water bill.  Balance owing $1,22.26.  Tenant has contacted the owner about the shut off.",2006 Apr 25 12:00:00 AM,2006 Apr 25 12:00:00 AM,Completed,Completed,4148 19TH AVE SW,98106,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002337-06CP,47.56515961,-122.35764566,"(47.56515961, -122.35764566)",4,2006,2,4,2006,2,False,False,0,1,True,False,False,False,False,False,False
