ï»¿RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
011174-18CP,Complaint,Request,"Construction , LandLord/Tenant","CONSTRUCTION & POTA--per online--The owner of the house is now living in the house and doing and addition/bsmt ADU.  6670085 CN.  There is a TRAO hold.   There had been a tenant in the house previously, but the owner gave them the proper notice Spring of 2018 before they moved in.",2018 Dec 17 12:00:00 AM,2018 Dec 24 12:00:00 AM,Completed,Completed,106 N 83RD ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011174-18CP,47.68930827,-122.35758052,"(47.68930827, -122.35758052)",12,2018,4,12,2018,4,False,False,7,6,True,False,False,False,False,True,False
003668-21CP,Complaint,Request,"Construction , LandLord/Tenant","A new land owner bought the property and will not respond to my emails or phone calls. Rent is due today and I don't know what address to send it to. There have been numerous unannounced land surveyors coming to our house in the early morning. They did a lot of damage to our backyard landscape. The new land owner is named Pasha Afichuk, his number is 253-632-5411, and his email is afichukpv@yahoo.com**PER PHONE CALL, EXCAVATION WITHOUT PERMITS - JH**",2021 May 18 12:00:00 AM,2021 May 27 12:00:00 AM,Completed,Completed,714 N MOTOR PL,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003668-21CP,47.65880785,-122.34934109,"(47.65880785, -122.34934109)",5,2021,2,5,2021,2,False,False,9,6,True,False,False,False,False,False,False
007238-21CP,Complaint,Request,"Construction , LandLord/Tenant","Major repairs beingdone without permits,and tenants aren't being notified.**Per 09/09/21 phone call, work happening in other units; caller will encourage other tenants to calland/or make complaints with photo evidence - JH**",2021 Sep 01 12:00:00 AM,,,Completed,6515 4TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007238-21CP,47.67622489,-122.32503924,"(47.67622489, -122.32503924)",9,2021,3,,,,True,True,,6,True,False,False,False,False,False,False
007239-21CP,Complaint,Request,"Construction , LandLord/Tenant","Major repairs beingdone without permits,and tenants aren't being notified.**Per 09/09/21 phone call, work happening in other units; caller will encourage other tenants to calland/or make complaints with photo evidence - JH**",2021 Aug 27 12:00:00 AM,,,Completed,6504 4TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007239-21CP,47.67619568,-122.32425366,"(47.67619568, -122.32425366)",8,2021,3,,,,True,True,,6,True,False,False,False,False,False,False
010065-22CP,Complaint,Request,"Construction , LandLord/Tenant","Owner is doing majorrenovations and remodeling withoutpermits.  Also, notproviding any notices prior to working upstairs, we live downstairs. The noise is unbearable.",2022 Sep 14 12:00:00 AM,2022 Sep 27 12:00:00 AM,Completed,Under Investigation,6713 MARY AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=010065-22CP,47.6782417,-122.37643183,"(47.6782417, -122.37643183)",9,2022,3,9,2022,3,False,False,13,6,True,False,False,False,False,False,False
001274-03CP,Complaint,Request,Emergency,Water damage in apartment and now black mold (from leaking roof). Repairs are being done on interior of apartment. Roof is still leaking. Very concerned about black mold and wants tenant relocation assistance. Tenants Union referred her to Sherri Anderson re tenant relocation assistance.,2003 Dec 10 12:00:00 AM,2003 Dec 10 12:00:00 AM,Completed,Completed,114 N 45TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001274-03CP,47.66163589,-122.35698842,"(47.66163589, -122.35698842)",12,2003,4,12,2003,4,False,False,0,6,True,False,False,False,True,True,False
1001117-VI,Notice of Violation,Case,Emergency,Water damage in apartment and now black mold (from leaking roof). Repairs are being done on interior of apartment. Roof is still leaking. Very concerned about black mold and wants tenant relocation assistance. Tenants Union referred her to Sherri Anderson re tenant relocation assistance.,2003 Dec 11 12:00:00 AM,2004 Jan 13 12:00:00 AM,Compliance Achieved,Completed,114 N 45TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001117-VI,47.66163589,-122.35698842,"(47.66163589, -122.35698842)",12,2003,4,1,2004,1,False,False,33,6,False,True,False,False,True,True,False
002004-04CP,Complaint,Request,Emergency,NO WATER. TURNED OFF YESTERDAY AT 10:30AM HAS 3 SMALL KIDS.BILL IN HER EX-BOYFRIENDS NAME.,2004 Mar 30 12:00:00 AM,,,Completed,7360 16TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002004-04CP,47.68307062,-122.37758636,"(47.68307062, -122.37758636)",3,2004,1,,,,True,True,,6,True,False,False,False,True,False,False
002083-05CP,Complaint,Request,Emergency,There is a very large hole in the foundation on the west side; the east foundation wall is soft; support beam in basement is leaning markedly; 10 unrelated adults living in house; no smoke detectors.,2005 Apr 14 12:00:00 AM,2005 Apr 15 12:00:00 AM,Completed,Completed,6546 23RD AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002083-05CP,47.67735363,-122.38498716,"(47.67735363, -122.38498716)",4,2005,2,4,2005,2,False,False,1,6,True,False,False,False,True,False,False
004910-05CP,Complaint,Request,Emergency,OWNER  TURNED OFF WATER 5 DAYS AGO/ TOOK OUT TOILET/ AND IS MAKING ADDITION TO BASEMENT W/O PERMITS.,2005 Nov 17 12:00:00 AM,2005 Nov 18 12:00:00 AM,Completed,Completed,320 NE 53RD ST,98105,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004910-05CP,47.66737194,-122.32461238,"(47.66737194, -122.32461238)",11,2005,4,11,2005,4,False,False,1,6,True,False,False,False,False,False,False
