ï»¿RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
008198-18CP,Complaint,Request,"Construction , LandLord/Tenant","Complainant called reiterating 008191-18CP concerns and wants feedback from ISAs/Supervisor to know more about process as well as POTA assistance per tenants believe being forced out, but no communication made by PM/Owner/Developer. Unpermitted construction - demolition, walls being removed, etc.",2018 Aug 27 12:00:00 AM,,,Completed,516 NE 85TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008198-18CP,47.69061041,-122.32237104,"(47.69061041, -122.32237104)",8,2018,3,,,,True,True,,5,True,False,False,False,False,True,False
002366-19CP,Complaint,Request,"Construction , LandLord/Tenant","TRAO VIOLATIONS COMPLAINT - RELATES TO #001768-19CP, etc.My landlord (Lake City Acres LLC and SR Investment Group, LLC and Sung Rhee andJason Scott) have violated the TRAO in multiple ways since 02 Oct. 2018.On 02 Oct. 2018, my landlord gave me the TRAO initial eligibility paperwork andsaid they wanted me to move out of my month-to-month apartment here by 01 Jan.2019, at the very latest by 01 Feb. 2019. They decided to try to illegally evictme from here by 01 April 2019, even th",2019 Mar 29 12:00:00 AM,,,Completed,12712 LAKE CITY WAY NE,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002366-19CP,47.721479,-122.29342704,"(47.721479, -122.29342704)",3,2019,1,,,,True,True,,5,True,False,False,False,False,True,False
002732-19CP,Complaint,Request,"Construction , LandLord/Tenant","CONSTRUCTION & POTA--per phone call--complainant says the owner/landlord is making additions to the home without permits.  No notice was given that construction work would take place.  People are coming in and out of home, leaving debris and garbage that he and his wife are left to clean up.  The landlord has threatened to throw them out if they complain.",2019 Apr 11 12:00:00 AM,2019 Apr 15 12:00:00 AM,Completed,Closed,14313 FREMONT AVE N,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002732-19CP,47.73277615,-122.35078796,"(47.73277615, -122.35078796)",4,2019,2,4,2019,2,False,False,4,5,True,False,False,False,True,True,False
000973-20CP,Complaint,Request,"Construction , LandLord/Tenant","Condo association of 9416 1st Ave NE 98115 has executed their plans to demolish and replace fireplaces inside units, replace windows in units, do gas piping work, remove - repair - replace balconies and railings.  The only approved permit I could find was for replacing the building envelope.  They have already removed some of the balcony railings and demolished some of the fireplaces... And they are requesting/requiring access to inside units to demolish fireplaces and are res",2020 Feb 03 12:00:00 AM,,,Closed,9416 1ST AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000973-20CP,47.69750966,-122.32762339,"(47.69750966, -122.32762339)",2,2020,1,,,,True,True,,5,True,False,False,False,False,False,False
001008-20CP,Complaint,Request,"Construction , LandLord/Tenant",Concerns that fireplace and window work impact on tenants conflicts with permit.POTA info requested per recent tenants not told construction was pending.,2020 Feb 03 12:00:00 AM,,,Completed,9416 1ST AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001008-20CP,47.69750966,-122.32762339,"(47.69750966, -122.32762339)",2,2020,1,,,,True,True,,5,True,False,False,False,False,True,False
001105-03CP,Complaint,Request,Emergency,Complaintant concerned that the recalled Cadet heaters will not shut off. The whole building has the recalled heaters. complaintant is afraid to turn on heat.,2003 Nov 17 12:00:00 AM,2003 Nov 18 12:00:00 AM,Completed,Completed,10522 LAKE CITY WAY NE,98125,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001105-03CP,47.70578572,-122.30107054,"(47.70578572, -122.30107054)",11,2003,4,11,2003,4,False,False,1,5,True,False,False,False,False,False,False
1001023-VI,Notice of Violation,Case,Emergency,Complaintant concerned that the recalled Cadet heaters will not shut off. The whole building has the recalled heaters. complaintant is afraid to turn on heat.,2003 Nov 18 12:00:00 AM,2004 Jan 21 12:00:00 AM,Compliance Achieved,Completed,10522 LAKE CITY WAY NE,98125,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001023-VI,47.70578572,-122.30107054,"(47.70578572, -122.30107054)",11,2003,4,1,2004,1,False,False,64,5,False,True,False,False,False,False,False
005063-04CP,Complaint,Request,Emergency,Sewage backup in basement has not been cleaned up and area sanitized.  The unit has no heat.,2004 Dec 30 12:00:00 AM,2004 Dec 30 12:00:00 AM,Completed,Completed,3315 NE 135TH ST,98125,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005063-04CP,47.72628107,-122.29148975,"(47.72628107, -122.29148975)",12,2004,4,12,2004,4,False,False,0,5,True,False,False,False,True,False,False
1003797-VI,Notice of Violation,Case,Emergency,Water shut off yesterday. Bill in owner's name.,2004 Oct 28 12:00:00 AM,2004 Nov 03 12:00:00 AM,Compliance Achieved,Completed,1712 N 107TH ST,98133,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1003797-VI,47.70703705,-122.33687616,"(47.70703705, -122.33687616)",10,2004,4,11,2004,4,False,False,6,5,False,True,False,False,False,False,False
1004193-VI,Notice of Violation,Case,Emergency,Water has been of since 10/26/04 Verified with water credit,2004 Dec 29 12:00:00 AM,2005 Jan 04 12:00:00 AM,Compliance Achieved,Completed,933 N 105TH ST,98133,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004193-VI,47.70483849,-122.34577719,"(47.70483849, -122.34577719)",12,2004,4,1,2005,1,False,False,6,5,False,True,False,False,False,False,False
