address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
1020 UNIVERSITY ST,1020 UNIVERSITY ST,3.0,9,2018-05-15,2025-08-20,2,2021-03-24,2023-07-05,True,1,True,EQP-CY-03085,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 2633",Active,1990-03-05,1990-03-05,0,False,,,,,,,True,1044.0
10215 LAKE CITY WAY NE,10215 LAKE CITY WAY NE,5.0,3,2021-12-08,2023-06-28,2,2021-10-24,2023-11-02,True,0,False,,,,,,,2,True,EQP-CY-04362 | EQP-CY-04361,Conveyance Equipment Certification,"2-P - Hydraulic Elevator, City # 5858 | #1-P - Hydraulic Elevator, City # 5857",Operating Without Certificate,1991-10-29,1991-10-29,True,-45.0
103 12TH AVE,103 12TH AVE,2.0,1,2025-02-25,2025-02-25,2,2021-03-03,2022-05-20,True,2,True,EQP-CY-08309 | EQP-CY-08308,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 11500 | 1-P - Cabled Elevator, City # 11499",Active,2015-10-20,2015-10-20,0,False,,,,,,,True,-1455.0
10306 HOLMAN RD N,10306 HOLMAN RD N,5.0,2,2024-02-11,2024-03-21,2,2023-05-25,2024-08-01,True,1,True,EQP-CY-01011,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 5484",Active,1989-06-20,1989-06-20,0,False,,,,,,,True,-262.0
10306 MERIDIAN AVE N,10306 MERIDIAN AVE N,5.0,2,2025-07-02,2025-07-07,3,2024-10-25,2026-01-08,True,2,True,EQP-CY-00656 | EQP-CY-00655,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3296 | 2-P - Cabled Elevator, City # 3295",Active,1989-04-03,1989-04-03,0,False,,,,,,,True,-250.0
107 1ST AVE N,107 1ST AVE N,7.0,2,2019-05-08,2021-12-03,1,2025-04-29,2025-04-29,True,1,True,EQP-CY-03119,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 705",Active,1990-04-04,1990-04-04,0,False,,,,,,,True,2183.0
107 CHERRY ST,107 CHERRY ST,1.0,4,2017-10-17,2023-04-15,8,2020-09-21,2023-05-09,True,2,True,EQP-CY-00370 | EQP-CY-00369,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 894 | 1-P - Cabled Elevator, City # 893",Active,1989-02-24,1989-02-24,0,False,,,,,,,True,1070.0
10700 MERIDIAN AVE N,10700 MERIDIAN AVE N,5.0,1,2025-04-02,2025-04-02,3,2021-03-31,2025-12-02,True,2,True,EQP-CY-03037 | EQP-CY-03036,Conveyance Equipment Certification,"2-P-S - Cabled Elevator, City # 3760 | 1-P-N - Cabled Elevator, City # 3759",Active,1990-03-05,1990-03-05,0,False,,,,,,,True,-1463.0
10711 8TH AVE NE,10711 8TH AVE NE,5.0,1,2024-08-09,2024-08-09,0,,,False,0,False,,,,,,,2,True,EQP-CY-09780 | EQP-CY-09779,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 12691 | 1-P - Cabled Elevator, City # 12690",Operating Without Certificate,2019-04-16,2019-04-16,False,
10721 MERIDIAN AVE N,10721 MERIDIAN AVE N,5.0,2,2024-11-27,2024-12-12,0,,,False,4,True,EQP-CY-02452 | EQP-CY-02451 | EQP-CY-02362 | EQP-CY-02361,Conveyance Equipment Certification,"BLDG E - Hydraulic Elevator, City # 5099 | BLDG F - Hydraulic Elevator, City # 5098 | BLDG C - Hydraulic Elevator, City # 5526 | BLDG D - Hydraulic Elevator, City # 5525",Active,1989-12-04,1989-12-05,0,False,,,,,,,False,
109 23RD AVE E,109 23RD AVE E,3.0,5,2019-06-05,2019-12-04,5,2021-03-11,2025-07-14,True,1,True,EQP-CY-00883,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3162",Active,1989-06-14,1989-06-14,0,False,,,,,,,True,645.0
109 DEXTER AVE N,109 DEXTER AVE N,7.0,5,2022-01-10,2025-07-24,1,2022-06-27,2022-06-27,True,1,True,EQP-CY-06823,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 9360",Active,2008-04-25,2008-04-25,0,False,,,,,,,True,168.0
109 JOHN ST,109 JOHN ST,7.0,4,2024-09-25,2025-06-25,1,2024-08-29,2024-08-29,True,0,False,,,,,,,0,False,,,,,,,True,-27.0
1100 MINOR AVE,1100 MINOR AVE,3.0,3,2019-03-05,2022-02-17,5,2021-08-10,2025-10-13,True,2,True,EQP-CY-05120 | EQP-CY-05119,Conveyance Equipment Certification,"2 - Hydraulic Elevator, City # 6794 | 1 - Hydraulic Elevator, City # 6793",Active,1998-05-29,1998-05-29,0,False,,,,,,,True,889.0
1100 NE 47TH ST,1100 NE 47TH ST,4.0,1,2017-07-13,2017-07-13,12,2020-01-26,2025-11-02,True,0,False,,,,,,,1,True,EQP-CY-05881,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7564",Operating Without Certificate,2001-10-09,2001-10-09,True,927.0
1102 8TH AVE,1102 8TH AVE,7.0,14,2018-06-25,2025-08-06,16,2021-05-16,2023-10-09,True,2,True,EQP-CY-03202 | EQP-CY-03200,Conveyance Equipment Certification,"3-P - Cabled Elevator, City # 736 | 1-P - Cabled Elevator, City # 734",Active,1990-04-04,1990-04-04,1,True,EQP-CY-03201,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 735",Operating Without Certificate,1990-04-04,1990-04-04,True,1056.0
11038 LAKE CITY WAY NE,11038 LAKE CITY WAY NE,5.0,1,2025-08-04,2025-08-04,0,,,False,0,False,,,,,,,1,True,EQP-CY-05016,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 6639",Operating Without Certificate,1997-08-28,1997-08-28,False,
1106 PIKE ST,1106 Pike ST,3.0,1,2024-01-18,2024-01-18,6,2023-07-21,2025-02-01,True,1,True,EQP-CY-05399,Conveyance Equipment Certification,"1 - Hydraulic Elevator, City # 7286",Active,1999-11-15,1999-11-15,0,False,,,,,,,True,-181.0
